player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
1,90,0,0,1,0,0,0,0,0,0,2,1,25,14.0,0.0,0.0,1.4,1,8,0,0,1,0.00,0.00,0.00,0.82,7,False
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
5,90,0,0,1,0,0,0,0,0,0,0,3,40,37.6,0.3,2.0,4.0,16,2,1,17,1,0.00,0.00,0.00,0.82,11,True
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
7,26,0,0,0,0,0,0,0,0,0,0,0,2,4.6,0.9,0.0,0.6,1,0,1,2,0,0.00,0.00,0.00,0.18,1,False
8,90,0,1,1,0,0,0,0,0,0,0,2,33,36.4,20.8,2.0,5.9,9,1,5,14,1,0.00,0.07,0.07,0.82,13,True
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
16,90,1,0,1,0,0,0,0,0,0,0,1,25,34.0,1.1,27.0,6.2,2,1,1,4,1,0.12,0.01,0.13,0.82,9,False
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
19,59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,4.0,0.2,1,2,0,3,1,0.07,0.00,0.07,0.55,1,False
20,30,0,0,0,0,0,0,0,0,0,0,0,-1,5.6,14.8,8.0,2.8,1,2,1,4,0,0.14,0.07,0.21,0.27,1,False
21,90,0,0,1,0,0,0,0,0,0,0,0,19,25.8,27.0,0.0,5.3,6,4,1,11,1,0.00,0.07,0.07,0.82,3,False
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
24,10,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,1,0,1,0,0.00,0.00,0.00,0.00,1,False
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
26,79,0,0,1,0,0,0,0,0,0,0,0,7,10.0,0.7,4.0,1.5,4,2,1,7,1,0.03,0.00,0.03,0.82,3,False
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
30,31,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.7,23.0,2.7,0,2,0,2,0,0.10,0.00,0.10,0.27,1,False
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False
