id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
1,David Raya Martín,Raya,Arsenal,Goalkeeper,6.0,129,4.2,33.6,4.2,2790,0,0,15,22,1,0,6,515,445.8,33.4,0.0,48.0,15323,26657,4105018,2397803,a,,,0.0,5.2
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,Goalkeeper,4.1,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36,174,14687,77152,a,,,0.0,1.0
3,Karl Hein,Hein,Arsenal,Goalkeeper,4.0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,30,5545,48262,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0.0,0.0
4,Tommy Setford,Setford,Arsenal,Goalkeeper,3.9,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,152,33885,33881,a,,,0.0,1.0
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,Defender,7.2,173,6.9,41.6,7.0,2165,3,4,14,15,3,0,25,593,686.8,108.4,199.0,99.2,18490,46809,8239159,5255087,a,100.0,,0.0,8.0
6,William Saliba,Saliba,Arsenal,Defender,6.1,107,4.3,13.1,4.8,2074,1,0,11,16,1,0,9,448,433.6,156.4,74.0,66.4,10704,12103,1920861,2252316,a,100.0,,0.0,5.8
7,Riccardo Calafiori,Calafiori,Arsenal,Defender,5.6,93,4.2,6.0,1.6,1446,1,2,11,8,5,0,4,339,244.4,127.9,249.0,62.2,1104,2077,2634956,2468338,a,100.0,,0.0,2.6
8,Jurriën Timber,J.Timber,Arsenal,Defender,6.3,149,5.0,27.0,5.2,2452,3,6,13,20,5,0,9,532,499.0,402.6,352.0,125.7,9640,90217,6702816,3875507,a,100.0,,0.0,6.2
9,Jakub Kiwior,Kiwior,Arsenal,Defender,5.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1119,10913,u,0.0,has joined Porto on loan for the rest of the season.,0.0,0.0
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,Defender,5.1,12,0.9,1.4,0.0,311,0,0,0,5,3,0,0,36,31.2,45.5,18.0,9.4,94,488,135137,466919,a,,,0.0,1.0
11,Benjamin White,White,Arsenal,Defender,5.1,30,4.3,0.5,0.0,409,0,1,3,4,0,0,3,112,111.4,92.7,46.0,25.0,103,231,347160,408695,a,100.0,,0.0,1.0
13,Brayden Clarke,Clarke,Arsenal,Defender,3.8,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31,192,51943,79134,a,,,0.0,1.0
14,Maldini Kacurri,Kacurri,Arsenal,Defender,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,10218,22702,u,0.0,has joined Morecambe on loan for the rest of the season.,0.0,0.0
15,Josh Nichols,Nichols,Arsenal,Defender,3.7,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,361,377,31100,30586,a,,,0.0,1.0
16,Bukayo Saka,Saka,Arsenal,Midfielder,9.8,133,4.9,8.0,6.2,1995,6,8,10,16,1,0,14,497,538.8,725.9,762.0,202.9,4696,15455,4124662,5063667,a,100.0,,0.0,7.2
17,Martin Ødegaard,Ødegaard,Arsenal,Midfielder,7.8,62,3.1,1.6,0.8,1070,1,6,4,11,0,0,5,252,259.6,434.7,144.0,83.7,26,1016,377049,644627,d,75.0,Knee injury - 75% chance of playing,0.0,0.9
18,Noni Madueke,Madueke,Arsenal,Midfielder,6.8,54,2.7,0.9,1.2,889,2,1,6,7,0,0,6,186,192.4,266.3,312.0,77.0,308,2464,369539,406298,a,100.0,,0.0,2.2
19,Gabriel Martinelli Silva,Martinelli,Arsenal,Midfielder,6.8,47,1.9,0.9,1.8,839,1,4,2,5,2,0,1,159,167.2,143.3,331.0,63.5,258,917,187386,262871,a,100.0,,0.0,2.8
20,Leandro Trossard,Trossard,Arsenal,Midfielder,6.6,99,3.8,0.8,1.0,1675,5,5,8,14,1,0,9,351,407.4,450.0,432.0,129.2,23,4153,535384,493346,a,100.0,,0.0,1.5
21,Declan Rice,Rice,Arsenal,Midfielder,7.4,163,5.4,27.3,4.8,2580,4,9,14,21,2,0,21,695,736.2,911.4,273.0,192.2,9370,123836,6964743,4441388,a,100.0,,0.0,5.8
22,Mikel Merino Zazón,Merino,Arsenal,Midfielder,5.4,66,3.1,0.8,0.0,996,4,3,4,9,1,0,5,238,304.4,187.0,237.0,72.6,12,494,835959,841769,i,0.0,Foot injury - Unknown return date,0.0,0.0
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,Midfielder,5.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,933,4430,u,0.0,has joined Hamburger on loan for the rest of the season.,0.0,0.0
24,Christian Nørgaard,Nørgaard,Arsenal,Midfielder,5.1,6,1.0,0.1,0.4,56,0,0,0,1,0,0,0,19,15.8,0.4,7.0,2.4,16,54,7734,61314,a,100.0,,0.0,1.4
25,Ethan Nwaneri,Nwaneri,Arsenal,Midfielder,5.0,8,1.3,0.1,0.0,165,0,0,1,0,0,0,0,20,8.6,22.5,24.0,5.4,0,22,13149,36987,u,0.0,has joined Marseille on loan for the rest of the season.,0.0,0.0
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,Midfielder,5.1,117,3.8,3.9,2.8,2597,5,1,15,20,4,0,9,530,539.6,335.9,258.0,113.5,951,20430,1321196,1117220,a,100.0,,0.0,3.8
28,Ismeal Kabia,Kabia,Arsenal,Midfielder,4.5,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,6731,30280,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0.0,0.0
29,Albert Sambi Lokonga,Sambi,Arsenal,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2952,14088,u,0.0,has joined Hamburger permanently.,0.0,0.0
30,Kai Havertz,Havertz,Arsenal,Forward,7.3,12,2.0,0.5,0.8,261,0,1,3,0,0,0,0,57,37.2,47.6,49.0,13.5,394,910,114545,198289,a,100.0,,0.0,1.8
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,Forward,6.4,17,1.5,0.4,0.0,304,2,0,0,6,2,0,0,68,100.6,24.9,207.0,33.0,137,1432,147718,123901,a,100.0,,0.0,1.0
266,Eberechi Eze,Eze,Arsenal,Midfielder,7.2,94,3.6,8.0,4.6,1494,6,3,8,10,1,0,8,358,338.4,242.8,373.0,95.3,1554,10280,3363441,3747057,a,,,0.0,5.6
662,Cristhian Mosquera,Mosquera,Arsenal,Defender,5.3,28,2.0,0.1,1.4,667,0,0,2,5,2,0,1,149,153.8,51.0,10.0,21.5,97,181,46042,52419,a,100.0,,0.0,2.4
666,Viktor Gyökeres,Gyökeres,Arsenal,Forward,8.8,101,3.5,11.6,5.0,1888,11,0,10,11,4,0,13,382,413.8,211.3,622.0,123.9,10706,24729,3449187,5041398,a,100.0,,0.0,6.0
700,Max Dowman,Dowman,Arsenal,Midfielder,4.2,11,3.7,0.6,1.2,43,1,1,0,0,0,0,0,39,38.2,23.3,47.0,10.9,3729,1351,193061,142813,a,100.0,,0.0,2.2
