id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,win,draw,loss,points,position
1,Arsenal,ARS,5,1300,1365,1340,1390,1260,1340,0,0,0,0,1
2,Aston Villa,AVL,3,1155,1225,1120,1230,1190,1220,0,0,0,0,4
3,Burnley,BUR,2,975,1090,910,1090,1040,1090,0,0,0,0,19
4,Bournemouth,BOU,3,1130,1205,1040,1190,1220,1220,0,0,0,0,10
5,Brentford,BRE,3,1140,1225,1110,1170,1170,1280,0,0,0,0,7
6,Brighton,BHA,3,1145,1195,1110,1160,1180,1230,0,0,0,0,12
7,Chelsea,CHE,4,1205,1220,1140,1150,1270,1290,0,0,0,0,6
8,Crystal Palace,CRY,3,1160,1165,1150,1150,1170,1180,0,0,0,0,14
9,Everton,EVE,3,1135,1165,1160,1160,1110,1170,0,0,0,0,8
10,Fulham,FUL,3,1095,1165,1070,1140,1120,1190,0,0,0,0,11
11,Leeds,LEE,3,1090,1200,1050,1140,1130,1260,0,0,0,0,15
12,Liverpool,LIV,4,1215,1245,1170,1210,1260,1280,0,0,0,0,5
13,Man City,MCI,4,1255,1350,1210,1300,1300,1400,0,0,0,0,2
14,Man Utd,MUN,4,1180,1240,1100,1180,1260,1300,0,0,0,0,3
15,Newcastle,NEW,3,1150,1220,1150,1150,1150,1290,0,0,0,0,9
16,Nott'm Forest,NFO,3,1080,1145,1100,1120,1060,1170,0,0,0,0,17
17,Sunderland,SUN,3,1070,1220,1100,1230,1040,1210,0,0,0,0,13
18,Spurs,TOT,3,1145,1160,1110,1130,1180,1190,0,0,0,0,16
19,West Ham,WHU,3,1085,1100,1050,1060,1120,1140,0,0,0,0,18
20,Wolves,WOL,2,1030,1060,1060,1070,1000,1050,0,0,0,0,20
